ds,yhat,yhat_lower,yhat_upper,indicator_name,rolling_volatility
2009-10-01,210.61279361572616,204.57698609808082,216.6705046463603,CPI,1.202274414033906
2009-11-01,211.0116982257027,204.30866029792182,217.2388145146903,CPI,0.9852060528846677
2009-12-01,211.45053161448223,205.29775030062754,217.66876647847803,CPI,1.0331363898217576
2010-01-01,212.0073202416106,205.622333288067,218.11051998303807,CPI,0.8512923508646191
2010-02-01,212.55621957424844,206.40211980869617,218.52470618905363,CPI,0.6352330805622514
2010-03-01,213.0002670845642,206.86085221566876,219.21658878622458,CPI,0.350181667101439
2010-04-01,213.54055532739403,207.20270377014364,220.0810354324027,CPI,0.08953435080425667
2010-05-01,214.05007378229982,207.84438145852494,219.801976973946,CPI,0.07693027128905078
2010-06-01,214.62478886959752,208.63863496032818,220.93902895722874,CPI,0.10177556995962399
2010-07-01,214.9248936664503,209.1825419836221,220.97789209736862,CPI,0.1406021573113489
2010-08-01,215.4424581254852,209.07502021320641,221.72669389476224,CPI,0.2634709977219619
2010-09-01,215.98485456359236,209.91901689968586,222.35101683699966,CPI,0.41332428750390954
2010-10-01,216.4469147269324,210.08594981494556,223.0133592839691,CPI,0.6897850147985447
2010-11-01,216.90695440690232,210.6636718088049,223.2879837170935,CPI,0.8985896542029953
2010-12-01,217.36636583709432,210.97350959835973,223.4061454531133,CPI,1.0905064266847404
2011-01-01,217.91800499819894,211.84727283119207,223.4496708719257,CPI,1.2615792748142158
2011-02-01,218.4671126704315,211.93589174874853,224.8821657731585,CPI,1.3619323649288835
2011-03-01,218.82498228385123,212.26577200764524,224.51424512612007,CPI,1.4870284014237218
2011-04-01,219.429971612937,213.33394413172888,225.5612290891889,CPI,1.6612880143553668
2011-05-01,219.96521156365134,213.50264339000634,226.31210588910935,CPI,1.6917776055501017
2011-06-01,220.48068421616188,214.06825938231947,226.72100170807585,CPI,1.5270621467295247
2011-07-01,220.85649073907337,214.59020203254008,227.15298918907743,CPI,1.310125439277037
2011-08-01,221.3561554968998,215.64078659248406,227.53372640416265,CPI,1.0569812990970229
2011-09-01,221.84549886784814,215.55599879018067,227.87058922613343,CPI,0.92582822379433
2011-10-01,222.2816147920883,215.85445578853052,229.07521931256304,CPI,0.8662765532096682
2011-11-01,222.8036435133296,216.94428384686617,229.00965063490602,CPI,0.8916814266546255
2011-12-01,223.28270789745753,217.63361120900922,229.56469865797274,CPI,0.6940979757744327
